Predictor,Category,Pearson_r,p_value,R_squared,Beta_weight,Odds_ratio,Job_Domain,Sample_Context,Study_Type,Measurement_Type,N,Year,Source_APA,Source_Link,Page,Notes
Technostress,Stress_Factors,-0.94,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Main predictor; significantly negative relationship with job performance
Tech_Uncertainty,Stress_Factors,-0.86,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Significant negative predictor of job performance
Tech_Insecurity,Stress_Factors,-0.89,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Significant negative predictor of job performance
Tech_Complexity,Stress_Factors,-0.913,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Significant negative predictor of job performance
Tech_Invasion,Stress_Factors,-0.838,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Significant negative predictor of job performance
Tech_Overload,Stress_Factors,-0.882,0,,,,Healthcare,General employees,Correlational,Self-report,247,2023,"Atrian, A., & Ghobbeh, S. (2023). Technostress and job performance: Understanding the negative impacts and strategic responses in the workplace. arXiv.",https://arxiv.org/abs/2311.07072,6,Significant negative predictor of job performance
Emotional_Intelligence,Emotional_Intelligence,,0,,0.349,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,,2020,"Abudaqa, A., Hilmi, M. F., & Dahalan, N. (2020). The nexus between job burnout and emotional intelligence on turnover intention in oil and gas companies in the UAE. International Journal of Innovation, Creativity and Change, 13(11), 361–378.",https://arxiv.org/pdf/2208.04843,15,Positive effect of emotional intelligence on job performance proxy (turnover intention)
Job_Burnout,Personality,,0,,0.299,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,,2020,"Abudaqa, A., Hilmi, M. F., & Dahalan, N. (2020). The nexus between job burnout and emotional intelligence on turnover intention in oil and gas companies in the UAE. International Journal of Innovation, Creativity and Change, 13(11), 361–378.",https://arxiv.org/pdf/2208.04843,15,Higher job burnout predicts higher turnover intention (negative job performance proxy)
Job_Satisfaction,Motivation,,0,,0.23,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,,2020,"Abudaqa, A., Hilmi, M. F., & Dahalan, N. (2020). The nexus between job burnout and emotional intelligence on turnover intention in oil and gas companies in the UAE. International Journal of Innovation, Creativity and Change, 13(11), 361–378.",https://arxiv.org/pdf/2208.04843,15,Higher job satisfaction reduces turnover intention (positive job performance proxy)
Workload,Stress_Factors,-0.87,0,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Long, C. S., Kowang, T. O., Teoh, A. P., & Muthuveloo, R. (2014). Investigation on the impact of job stressors on nurses in Malaysia. Asian Social Science, 10(4), 67–77.",http://dx.doi.org/10.5539/ass.v10n4p67,4,Negative correlation with job performance
Procedural_Injustice,Stress_Factors,-0.844,0,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Long, C. S., Kowang, T. O., Teoh, A. P., & Muthuveloo, R. (2014). Investigation on the impact of job stressors on nurses in Malaysia. Asian Social Science, 10(4), 67–77.",http://dx.doi.org/10.5539/ass.v10n4p67,4,Negative correlation with job performance
Role_Ambiguity,Stress_Factors,-0.684,0,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Long, C. S., Kowang, T. O., Teoh, A. P., & Muthuveloo, R. (2014). Investigation on the impact of job stressors on nurses in Malaysia. Asian Social Science, 10(4), 67–77.",http://dx.doi.org/10.5539/ass.v10n4p67,4,Negative correlation with job performance
Work_Family_Conflict,Stress_Factors,-0.914,0,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Long, C. S., Kowang, T. O., Teoh, A. P., & Muthuveloo, R. (2014). Investigation on the impact of job stressors on nurses in Malaysia. Asian Social Science, 10(4), 67–77.",http://dx.doi.org/10.5539/ass.v10n4p67,4,Strongest negative correlation with job performance
Physical_Environment,Stress_Factors,-0.718,0,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Long, C. S., Kowang, T. O., Teoh, A. P., & Muthuveloo, R. (2014). Investigation on the impact of job stressors on nurses in Malaysia. Asian Social Science, 10(4), 67–77.",http://dx.doi.org/10.5539/ass.v10n4p67,4,Significant negative correlation with job performance
Job_Satisfaction,Attitudes,0.3,,,0.33,,healthcare,nan,meta-analysis,self-report,,,"Judge, T. A., Thoresen, C. J., Bono, J. E., & Patton, G. K. (2001). The job satisfaction–job performance relationship: A qualitative and quantitative review. Psychological Bulletin, 127(3), 376–407.",https://www.researchgate.net/publication/11946741_The_Job_Satisfaction-Job_Performance_Relationship,10,Corrected correlation between job satisfaction and job performance from ~312 studies; true correlation interval (.27–.33)
Emotional_Intelligence,Emotional_Intelligence,0.24,<.01,0.06,,,,General,Meta-analysis,Mixed (MSCEIT and others),9724,2010,"O'Boyle, E. H., Humphrey, R. H., Pollack, J. M., Hawver, T. H., & Story, P. A. (2010). Emotional intelligence and job performance: A meta-analysis. Journal of Organizational Behavior, 32(5), 788–818.",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,28,Corrected r for ability-based EI; statistically significant
Emotional_Intelligence,Emotional_Intelligence,0.29,<.01,0.08,,,,General,Meta-analysis,"Mixed (e.g., Bar-On, EQ-I)",8747,2010,"O'Boyle et al. (2010). Emotional intelligence and job performance: A meta-analysis.,Journal of Organizational Behavior",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,28,Self-report mixed models slightly stronger predictor
Emotional_Intelligence,Emotional_Intelligence,0.13,<.05,0.02,,,,General,Meta-analysis,Self-report ability-based,2332,2010,"O'Boyle et al. (2010),Journal of Organizational Behavior",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,28,Weaker predictive value compared to other EI types
General_Mental_Ability,Cognitive,0.65,,,,,General,Multiple industries and roles,Meta-analysis,Standardized test,,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.",https://www.researchgate.net/publication/283803351,6,Corrected for measurement error and range restriction; large sample meta-analysis
Conscientiousness,Personality,0.31,,,,,General,Various occupations,Meta-analysis,Personality Inventory,,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.",https://www.researchgate.net/publication/283803351,6,Consistently significant predictor across job types; often combined with GMA
Structured_Interview,Assessment_Methods,0.35,,,,,General,Various employment sectors,Meta-analysis,Structured interview rating,,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.",https://www.researchgate.net/publication/283803351,6,Outperforms unstructured interviews; used widely in hiring
Education,Background_Factors,0.1,,,,,General,Various industries,Meta-analysis,Years of education,,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.",https://www.researchgate.net/publication/283803351,6,Low correlation with job performance once in the job
Integrity,Personality,0.33,,,,,General,"665 validity coefficients across 576,460 data points",Meta-analysis,Various (self-report and objective),576460,1993,"Ones, D. S., Viswesvaran, C., & Schmidt, F. L. (1993). Integrity tests predict counterproductive work behaviors and job performance well. Comment on Van Iddekinge, Roth, Raymark, and Odle-Dusseau (2012). Journal of Applied Psychology, 78(4), 679–689.",https://www.researchgate.net/publication/224955629_Integrity_Tests_Predict_Counterproductive_Work_Behaviors_and_Job_Performance_Well_Comment_on_Van_Iddekinge_Roth_Raymark_and_Odle-Dusseau_2012,7,Ongoing generalizability across samples; primary meta-analysis finding.
Structured_Interview,Assessment_Methods,0.34,p < .001,,,,Entry-Level Jobs,114 studies with supervisory ratings,Meta-analysis,Self-report,,1994,"Huffcutt, A. I., & Arthur, W. (1994). Hunter and Hunter (1984) Revisited: Interview Validity for Entry-Level Jobs. Journal of Applied Psychology, 79(2), 184–193.",https://doi.org/10.1037/0021-9010.79.2.184,4,Mean observed validity for highest interview structure level (Level 3); correlation with job performance ratings
Cognitive_Ability,Cognitive,0.23,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,"Kung, M. (Mei-Chuan), Glatzhofer, P. E., Lawrence, A., & Jarrett, S. (2013, January). Investigating predictors of sales performance: A longitudinal study. Paper presented at the Society for Industrial and Organizational Psychology Annual Conference.",https://www.researchgate.net/publication/320188393_Investigating_Predictors_of_Sales_Performance_A_Longitudinal_Study,5,Corrected correlation. Strong predictor for profit margin in 2008.
Achievement_Orientation,Personality,0.19,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,"Kung, M. (Mei-Chuan), Glatzhofer, P. E., Lawrence, A., & Jarrett, S. (2013, January). Investigating predictors of sales performance: A longitudinal study. Paper presented at the Society for Industrial and Organizational Psychology Annual Conference.",https://www.researchgate.net/publication/320188393_Investigating_Predictors_of_Sales_Performance_A_Longitudinal_Study,5,Observed correlation; strongest personality predictor for 2008 sales performance
Emotional_Intelligence,Emotional_Intelligence,0.22,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,"Kung, M. (Mei-Chuan), Glatzhofer, P. E., Lawrence, A., & Jarrett, S. (2013, January). Investigating predictors of sales performance: A longitudinal study. Paper presented at the Society for Industrial and Organizational Psychology Annual Conference.",https://www.researchgate.net/publication/320188393_Investigating_Predictors_of_Sales_Performance_A_Longitudinal_Study,5,Extraversion EQ scores had positive correlation with sales
Perseverance,Character_Strengths,0.25,0.01,,0.24,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Explained up to 17.6% of variance in job performance dimensions.
Teamwork,Character_Strengths,0.22,0.02,,0.2,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Significant predictor for team member adaptivity and proactivity.
Love_of_Learning,Character_Strengths,0.18,0.04,,0.15,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Significant predictor for team member adaptivity and proactivity.
Self-Regulation,Character_Strengths,0.19,0.03,,0.17,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Significant predictor for team member adaptivity and proactivity.
Zest,Character_Strengths,0.17,0.05,,0.14,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Significant predictor for team member adaptivity and proactivity.
Leadership,Character_Strengths,,<0.001,,,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Contributed notably to team-level performance metrics.
Judgment,Character_Strengths,,<0.001,,,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,"Relevant for individual-level performance including task proficiency, adaptivity, and proactivity."
Kindness,Character_Strengths,,<0.001,,,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Relevant predictor for team member adaptivity and proactivity.
Social_Intelligence,Character_Strengths,,<0.001,,,,General,169 employees from various occupations in Germany,Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,11,Relevant predictor for team member adaptivity and proactivity.
Neuroticism,Personality,-0.65,0.0622,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.",https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance,5,Negative predictor of management performance; weak significance (p=0.0622)
Extraversion,Personality,0.51,0.5069,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.",https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance,5,Not statistically significant; not a meaningful predictor
Openness,Personality,0.75,0.0008,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.",https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance,5,Strong and significant predictor of managerial performance
Agreeableness,Personality,0.47,0.0325,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.",https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance,5,Moderate predictor; statistically significant
Conscientiousness,Personality,0.35,0.0681,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.",https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance,5,Weak to moderate predictor; borderline significance
Extraversion,Personality,,<0.001,0.093,0.132,,General,852 employees across 154 professions in Turkey,Field study,Standardized assessment (HEXACO long form),852,2019,"Saltukoğlu, G., Tatar, A., & Özdemir, H. (2019). The HEXACO Personality Measure as a Predictor of Job Performance and Job Satisfaction. In Psychological Applications and Trends 2019.",https://www.researchgate.net/publication/341618822_THE_HEXACO_PERSONALITY_MEASURE_AS_A_PREDICTOR_OF_JOB_PERFORMANCE_AND_JOB_SATISFACTION,3,Statistically significant predictor of job performance in regression model
Conscientiousness,Personality,,<0.001,0.093,0.224,,General,852 employees across 154 professions in Turkey,Field study,Standardized assessment (HEXACO long form),852,2019,"Saltukoğlu, G., Tatar, A., & Özdemir, H. (2019). The HEXACO Personality Measure as a Predictor of Job Performance and Job Satisfaction. In Psychological Applications and Trends 2019.",https://www.researchgate.net/publication/341618822_THE_HEXACO_PERSONALITY_MEASURE_AS_A_PREDICTOR_OF_JOB_PERFORMANCE_AND_JOB_SATISFACTION,3,Statistically strongest predictor of job performance among HEXACO traits
Proactivity,Personality,0.36,<0.01,,0.34,,Multiple domains,"2 organizations (financial services, computer industry)",Longitudinal Field Study,Self-report for predictor; supervisor ratings for performance,180,1999,"Seibert, S. E., Crant, J. M., & Kraimer, M. L. (1999). Proactive personality and career success. Journal of Applied Psychology", https://www.researchgate.net/publication/12919548_Proactive_Personality_and_Career_Success,10,Significant correlation between proactive personality and supervisor-rated job performance across time
Self_Efficacy,Motivation,0.41,,,0.17,,General,Subgroup analysis by task complexity,Meta-analysis,Objective/Standardized,,2007,Judge et al. (2007),https://doi.org/10.1037/0021-9010.92.1.107,8,Higher correlation for low-complexity tasks
Self_Efficacy,Motivation,0.52,,,0.27,,General,Subgroup: assigned goals vs. not,Meta-analysis,Objective/Standardized,,2007,Judge et al. (2007),https://doi.org/10.1037/0021-9010.92.1.107,8,Goal setting moderates the effect of self-efficacy
