Predictor,Category,Pearson_r,p_value,R_squared,Beta_weight,Odds_ratio,Job_Domain,Sample_Context,Study_Type,Measurement_Type,N,Year,Source_APA,Source_Link,Notes
Procedural Injustice,Stress,-0.844,0.000,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Local File - Unknown (2014). Investigation on the Impact of Job Stressors on Nurses in Malaysia. Asian Social Science, 10(4), 67.","http://dx.doi.org/10.5539/ass.v10n4p67","Negative correlation with job performance"
Role Ambiguity,Stress,-0.684,0.000,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Local File - Unknown (2014). Investigation on the Impact of Job Stressors on Nurses in Malaysia. Asian Social Science, 10(4), 67.","http://dx.doi.org/10.5539/ass.v10n4p67","Negative correlation with job performance"
Work-family Conflict,Stress,-0.914,0.000,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Local File - Unknown (2014). Investigation on the Impact of Job Stressors on Nurses in Malaysia. Asian Social Science, 10(4), 67.","http://dx.doi.org/10.5539/ass.v10n4p67","Strongest negative correlation with job performance"
Physical Environment,Stress,-0.718,0.000,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Local File - Unknown (2014). Investigation on the Impact of Job Stressors on Nurses in Malaysia. Asian Social Science, 10(4), 67.","http://dx.doi.org/10.5539/ass.v10n4p67","Significant negative correlation with job performance"
job_satisfaction,attitude,0.30,,,0.33,,healthcare,,meta-analysis,self-report,", individuals",,"Local File - Unknown (Unknown). The Job Satisfaction Job Performance Relationship A Qualitative and Quantitative Review. Unknown Journal.",papers\The_Job_Satisfaction-Job_Performance_Relationship.pdf,Corrected correlation between job satisfaction and job performance from ~312 studies; true correlation interval (.27–.33)
Emotional Intelligence (ability-based),Emotional,0.24,<.01,0.06,,,,General,Meta-analysis,"Mixed (MSCEIT and others)",9724,2010,"O'Boyle, E. H., Humphrey, R. H., Pollack, J. M., Hawver, T. H., & Story, P. A. (2010). Emotional intelligence and job performance: A meta-analysis. Journal of Organizational Behavior, 32(5), 788–818.",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,Corrected r for ability-based EI; statistically significant
Emotional Intelligence (self-report mixed),Emotional,0.29,<.01,0.08,,,,General,Meta-analysis,"Mixed (e.g., Bar-On, EQ-I)",8747,2010,"O'Boyle et al. (2010). Emotional intelligence and job performance: A meta-analysis.,Journal of Organizational Behavior",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,Self-report mixed models slightly stronger predictor
Emotional Intelligence (self-report ability),Emotional,0.13,<.05,0.02,,,,General,Meta-analysis,Self-report ability-based,2332,2010,"O'Boyle et al. (2010),Journal of Organizational Behavior",https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis,Weaker predictive value compared to other EI types
General Mental Ability (GMA),Cognitive,0.65,,,,,General,Multiple industries and roles,Meta-analysis,Standardized test,Varies across studies,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.","https://www.researchgate.net/publication/283803351","Corrected for measurement error and range restriction; large sample meta-analysis"
Conscientiousness,Personality,0.31,,,,,General,Various occupations,Meta-analysis,Personality Inventory,Varies across studies,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.","https://www.researchgate.net/publication/283803351","Consistently significant predictor across job types; often combined with GMA"
Structured Interview,Interview_Performance,0.35,,,,,General,Various employment sectors,Meta-analysis,Structured interview rating,Varies across studies,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.","https://www.researchgate.net/publication/283803351","Outperforms unstructured interviews; used widely in hiring"
Education,Education,0.10,,,,,General,Various industries,Meta-analysis,Years of education,Varies across studies,1998,"Schmidt, F. L., & Hunter, J. E. (1998). The Validity and Utility of Selection Methods in Personnel Psychology. Psychological Bulletin, 124(2), 262–274.","https://www.researchgate.net/publication/283803351","Low correlation with job performance once in the job"
Integrity Tests,Personality,0.33,,,,,General,"665 validity coefficients across 576,460 data points",Meta-analysis,Various (self-report and objective),"576,460",1993,"Ones, D. S., Viswesvaran, C., & Schmidt, F. L. (1993). Integrity tests predict counterproductive work behaviors and job performance well. Comment on Van Iddekinge, Roth, Raymark, and Odle-Dusseau (2012). Journal of Applied Psychology, 78(4), 679–689.","https://www.researchgate.net/publication/224955629_Integrity_Tests_Predict_Counterproductive_Work_Behaviors_and_Job_Performance_Well_Comment_on_Van_Iddekinge_Roth_Raymark_and_Odle-Dusseau_2012","Ongoing generalizability across samples; primary meta-analysis finding."
Structured Interview,Interview,0.34,p < .001,,,,Entry-Level Jobs,114 studies with supervisory ratings,Meta-analysis,Self-report,Not specified,1994,"Huffcutt, A. I., & Arthur, W. (1994). Interview structure and validity: Some new insights. Journal of Applied Psychology, 79(2), 184–193.",https://doi.org/10.1037/0021-9010.79.2.184,Mean observed validity for highest interview structure level (Level 3); correlation with job performance ratings
Emotional Intelligence,Emotional,0.28,p < .001,,,,Healthcare,"Working samples from various fields",Meta-analysis,Self-report or peer report,,"2010","Joseph, D. L., & Newman, D. A. (2010). Emotional intelligence and job performance: A meta-analysis. Psychological Bulletin, 136(2), 376–404.","https://www.researchgate.net/publication/220013302_Emotional_intelligence_and_job_performance_A_meta-analysis","Corrected correlation across 3 EI streams; significant positive predictor"
Cognitive Ability,Cognitive,0.23,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,Local File - Unknown (Unknown). 127 16SalesPerformanceALongitudinalStudy. Unknown Journal.,https://doi.org/10.1037/0021-9010.83.4.586,Corrected correlation. Strong predictor for profit margin in 2008.
Achievement Orientation,Personality,0.19,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,Local File - Unknown (Unknown). 127 16SalesPerformanceALongitudinalStudy. Unknown Journal.,https://doi.org/10.1037/0021-9010.83.4.586,Observed correlation; strongest personality predictor for 2008 sales performance
EQ (Extraversion Competency),Emotional Intelligence,0.22,<0.01,,,,Sales,"124 incumbent B2B salespeople, national office product retailer",Field study,Objective,124,2008,Local File - Unknown (Unknown). 127 16SalesPerformanceALongitudinalStudy. Unknown Journal.,https://doi.org/10.1037/0021-9010.83.4.586,Extraversion EQ scores had positive correlation with sales
Perseverance,Character Strength,,<0.001,0.176,,,General,"169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,Explained up to 17.6% of variance in job performance dimensions.
Teamwork,Character Strength,,<0.001,,,,"General","169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,Significant predictor for team member adaptivity and proactivity.
Leadership,Character Strength,,<0.001,,,,"General","169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,Contributed notably to team-level performance metrics.
Judgment,Character Strength,,<0.001,,,,"General","169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,"Relevant for individual-level performance including task proficiency, adaptivity, and proactivity."
Kindness,Character Strength,,<0.001,,,,"General","169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,Relevant predictor for team member adaptivity and proactivity.
Social Intelligence,Character Strength,,<0.001,,,,"General","169 employees from various occupations in Germany",Field study,Self-report and supervisor ratings,169,2021,"Harzer, C., Bezuglova, N., & Weber, M. (2021). Incremental validity of character strengths as predictors of job performance beyond general mental ability and the Big Five. Frontiers in Psychology",https://doi.org/10.3389/fpsyg.2021.518369,Relevant predictor for team member adaptivity and proactivity.
Neuroticism,Personality,−0.65,0.0622,,,,Healthcare,"Employees of corporate pharmacy group in South Africa (14 retail + 16 hospital pharmacies), N=159",Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.","https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance","Negative predictor of management performance; weak significance (p=0.0622)"
Extraversion,Personality,0.51,0.5069,,,,Healthcare,Same as above,Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.","https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance","Not statistically significant; not a meaningful predictor"
Openness to Experience,Personality,0.75,0.0008,,,,Healthcare,Same as above,Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.","https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance","Strong and significant predictor of managerial performance"
Agreeableness,Personality,0.47,0.0325,,,,Healthcare,Same as above,Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.","https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance","Moderate predictor; statistically significant"
Conscientiousness,Personality,0.35,0.0681,,,,Healthcare,Same as above,Meta-analysis,Self-report,159,2004,"Rothmann, S., & Coetzer, E. P. (2004). The Big Five Personality Dimensions and Job Performance. SA Journal of Industrial Psychology, 30(1), 68-74.","https://www.researchgate.net/publication/47739408_The_Big_Five_Personality_Dimensions_and_Job_Performance","Weak to moderate predictor; borderline significance"
Extraversion,Personality,,<0.001,0.093,0.132,,General,852 employees across 154 professions in Turkey,Field study,Standardized assessment (HEXACO long form),852,2019,"Saltukoğlu, G., Tatar, A., & Özdemir, H. (2019). The HEXACO Personality Measure as a Predictor of Job Performance and Job Satisfaction. In Psychological Applications and Trends 2019.","https://www.researchgate.net/publication/341618822_THE_HEXACO_PERSONALITY_MEASURE_AS_A_PREDICTOR_OF_JOB_PERFORMANCE_AND_JOB_SATISFACTION","Statistically significant predictor of job performance in regression model"
Conscientiousness,Personality,,<0.001,0.093,0.224,,General,852 employees across 154 professions in Turkey,Field study,Standardized assessment (HEXACO long form),852,2019,"Saltukoğlu, G., Tatar, A., & Özdemir, H. (2019). The HEXACO Personality Measure as a Predictor of Job Performance and Job Satisfaction. In Psychological Applications and Trends 2019.","https://www.researchgate.net/publication/341618822_THE_HEXACO_PERSONALITY_MEASURE_AS_A_PREDICTOR_OF_JOB_PERFORMANCE_AND_JOB_SATISFACTION","Statistically strongest predictor of job performance among HEXACO traits"
Situational Judgment Test (SJT),Cognitive,0.34,,,0.12,,General,Various occupations,Meta-analysis,Standardized test,24944,2001,McDaniel, M. A., Morgeson, F. P., Finnegan, E. B., Campion, M. A., & Braverman, E. P. (2001). Use of Situational Judgment Tests to Predict Job Performance. Journal of Applied Psychology, https://doi.org/10.1037/0021-9010.86.4.730,Mean corrected correlation across studies; higher validity for low-complexity jobs
Proactive Personality,Personality,0.36,<0.01,,0.34,,Multiple domains,"2 organizations (financial services, computer industry)",Longitudinal Field Study,Self-report for predictor; supervisor ratings for performance,180,1999,"Seibert, S. E., Crant, J. M., & Kraimer, M. L. (1999). Proactive personality and career success. Journal of Applied Psychology", https://www.researchgate.net/publication/12919548_Proactive_Personality_and_Career_Success,Significant correlation between proactive personality and supervisor-rated job performance across time
Self-Efficacy,Motivation,0.38,,0.14,,,,General,"Meta-analysis: 114 studies (mostly work-related tasks)",Objective/Standardized,21,616,2007,Judge, T. A., Jackson, C. L., Shaw, J. C., Scott, B. A., & Rich, B. L. (2007). Self-efficacy and work-related performance: The integral role of individual differences. *Journal of Applied Psychology, https://doi.org/10.1037/0021-9010.92.1.107,Average corrected correlation between self-efficacy and performance; based on primary studies included in this meta-analysis
Self-Efficacy (moderated by Task Complexity),Motivation,0.41 (low complexity),,,0.17,,General,"Subgroup analysis by task complexity",Meta-analysis,Objective/Standardized,Subgroup from full N,2007,Judge et al. (2007),https://doi.org/10.1037/0021-9010.92.1.107,Higher correlation for low-complexity tasks
Self-Efficacy (moderated by Goal Setting),Motivation,0.52 (assigned goals),,,0.27,,General,"Subgroup: assigned goals vs. not",Meta-analysis,Objective/Standardized,Subgroup from full N,2007,Judge et al. (2007),https://doi.org/10.1037/0021-9010.92.1.107,Goal setting moderates the effect of self-efficacy
